Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PDFBOX-2004,PDF2Image hangs/loops forever processing PDF,Andreas Lehmkühler,Ed Sawdon,Major,Closed,Duplicate,3/27/2014 16:55,4/17/2014 8:10,
Bug,,PDFBOX-2005,JDK 1.8 build fails in TestTTFParser,Unassigned,Tilman Hausherr,Major,Closed,Fixed,3/27/2014 21:02,3/17/2016 19:07,
Bug,,PDFBOX-2006,Glyphs rendered at the same spot,Unassigned,Tilman Hausherr,Major,Closed,Duplicate,3/28/2014 19:17,4/20/2014 21:56,
Bug,,PDFBOX-2007,Performance regression since PDFRenderer,Unassigned,François Bernier,Major,Closed,Fixed,4/2/2014 1:33,3/17/2016 19:06,
Bug,,PDFBOX-2008,Off-by-one error in BaseParser.readGenerationNumber(),Unassigned,Christian S.,Major,Closed,Fixed,4/2/2014 16:07,5/2/2014 6:12,
Bug,,PDFBOX-2009,PDFStreamEngine.processEncodedText incorrectly handling UTF-16 text with BOM FEFF,Unassigned,Philip Helger,Major,Closed,Not A Problem,4/2/2014 17:32,6/17/2014 19:44,
Wish,,PDFBOX-2010,"Please make ""protected PDFont getDescendantFont()"" public as it is in 2.0.0",Tilman Hausherr,Philip Helger,Major,Closed,Fixed,4/2/2014 17:56,5/2/2014 6:12,
Wish,,PDFBOX-2011,"Please extend base class ""Encoding"" with 2 methods to access global name2char and char2name maps",Unassigned,Philip Helger,Major,Closed,Won't Fix,4/2/2014 17:59,10/14/2014 7:15,
Wish,,PDFBOX-2012,Extend CMAPEncodingEntry API,Unassigned,Philip Helger,Major,Closed,Won't Fix,4/2/2014 18:19,10/14/2014 7:16,
Wish,,PDFBOX-2013,Please extend PDTrueTypeFont API,Unassigned,Philip Helger,Major,Closed,Won't Fix,4/2/2014 18:23,10/14/2014 8:30,
Bug,,PDFBOX-2014,PDAnnotationLink,Unassigned,WALID CHARFI,Major,Closed,Invalid,4/4/2014 13:03,11/6/2014 6:03,
Bug,,PDFBOX-2015,Hybrid reference pdf still contain XRefStm info in the trailer dictionary afterPDDocument#save,Andreas Lehmkühler,Tim Costermans,Major,Closed,Fixed,4/6/2014 7:17,12/13/2014 14:15,
Bug,,PDFBOX-2016,Stream parsing still incorrect if length value is wrong,Tilman Hausherr,Andrew Olsen,Major,Closed,Fixed,4/7/2014 9:56,8/28/2014 22:22,
Bug,,PDFBOX-2017,[PATCH] Configure pdfbox for missing font file,Unassigned,simon steiner,Major,Closed,Won't Fix,4/7/2014 11:26,7/3/2014 1:18,
Bug,,PDFBOX-2018,Dashed line with incorrect line cap,Tilman Hausherr,Tilman Hausherr,Minor,Closed,Fixed,4/7/2014 15:17,5/2/2014 6:12,
Bug,,PDFBOX-2019,Annotations produced by Annotation.java example are not rendered correctly,Unassigned,Stan Taylor,Major,Open,Unresolved,4/7/2014 18:53,3/25/2017 18:09,
Bug,,PDFBOX-2020,PDF/A Validation raises NullPointerException for PDFs without ImageColorSpace,Tilman Hausherr,Ulrich Wohlfeil,Major,Closed,Fixed,4/8/2014 19:22,9/19/2014 14:40,
Bug,,PDFBOX-2021,PDFPrinter problem with landscape and rotated pages,John Hewson,John Hewson,Major,Closed,Fixed,4/8/2014 22:59,3/17/2016 19:07,
Bug,,PDFBOX-2022,silentPrint(no args) doesn't use the printerJob field,Unassigned,John Hewson,Major,Closed,Fixed,4/9/2014 17:06,3/17/2016 19:07,
Bug,,PDFBOX-2023,Text extraction gets zero font height for type3 fonts,Unassigned,Tilman Hausherr,Major,Closed,Fixed,4/11/2014 5:07,3/17/2016 19:06,
Bug,,PDFBOX-2024,/Rotate 180 PDF is not displayed correctly in PDFReader app,Tilman Hausherr,Tilman Hausherr,Minor,Closed,Fixed,4/11/2014 16:33,5/2/2014 6:12,
Bug,,PDFBOX-2025,Some fonts do not print,John Hewson,John Hewson,Major,Closed,Fixed,4/12/2014 0:23,3/17/2016 19:38,
Bug,,PDFBOX-2026,cannot load jpg into new pdf,Tilman Hausherr,shaun neal,Major,Closed,Fixed,4/13/2014 18:08,5/2/2014 6:12,
Bug,,PDFBOX-2027,PDF Page completely white/empty,Unassigned,Stefan Helfert,Major,Closed,Fixed,4/14/2014 11:24,4/14/2014 12:35,
Bug,,PDFBOX-2028,Convert Page to Image,Andreas Lehmkühler,Stefan Helfert,Major,Closed,Invalid,4/15/2014 12:20,4/15/2014 15:28,
